"","year","quarter","A1","A2","A3","A4","A5"
"1",1975,1,0,90.6391253270464,0,0,0
"2",1975,2,0,2246.9345911713,0,0,0
"3",1975,3,0,256.701782740317,0,0,0
"4",1975,4,170.643696238465,448.450979280567,0,0,0
"5",1976,1,0,3476.30943393447,0,0,0
"6",1976,2,0,449.242482275887,0,0,0
"7",1976,3,0,107.892178954639,0,0,0
"8",1976,4,0,506.579468806066,0,0,0
"9",1977,1,0,609.363031892936,0,0,0
"10",1977,2,3.37805191686876,234.005726072189,0,0,0
"11",1977,3,0,504.080413817194,0,0,0
"12",1977,4,158.393100990957,3147.406038767,0,0,0
"13",1978,1,0,187.95138794626,0,8.18762096571317,0
"14",1978,2,0,303.487817129101,0,0,0
"15",1978,3,234.347906751968,741.43456522847,0,0,0
"16",1978,4,262.549712300536,2899.32755752532,0,0,0
"17",1979,1,0,941.366928914016,0,96.0077618061702,0
"18",1979,2,4.26952164267439,858.187027713487,0,0,0
"19",1979,3,85.1833572888078,215.782150922201,0,0,0
"20",1979,4,0,880.489301342662,0,390.855128333453,0
"21",1980,1,0,540.334822994847,0,738.901082953581,0
"22",1980,2,21.7337094884666,152.208477068363,0,0,0
"23",1980,3,89.8323890461795,151.879304275878,0,0,0
"24",1980,4,414.545776611416,1348.45450768999,0,305.694674825653,0
"25",1981,1,0,575.485381170458,0,709.040963788889,5.8734651779368
"26",1981,2,223.232791017844,414.405598665541,0,0,0
"27",1981,3,45.8348907305138,252.839297461719,0,0,0
"28",1981,4,0,1388.25875552956,0,0,0
"29",1982,1,95.9269562124414,2007.46095342056,0,2.68475677581373,0
"30",1982,2,90.6967517068479,133.07712894461,0,90.8342709150312,0
"31",1982,3,91.1943266292987,1035.21297873555,0,0,0
"32",1982,4,27.0619008407398,1622.57750340929,0,0,0
"33",1983,1,53.8339183991646,263.965530311193,0,1931.66511791293,329.813530379644
"34",1983,2,122.597981118888,258.941763321367,0,0,70.6744074335106
"35",1983,3,6.6775812890897,3.33879064454485,0,0,0
"36",1983,4,0,179.862506905323,0,0,0
"37",1984,1,48.06029278485,1122.23681405572,0,0,0
